date,tv,digital_video,search,social,display,audio,print_mail,sales,consumer_sentiment,gas_price,store_count,markdown,hol_blackfriday,hol_christmas,hol_thanksgiving,hol_july4,hol_primeday
2016-03-13,132866.08,14608.69,318500.57,45194.35,186111.3,94405.69,1423247.63,113440995.99,91.0,2.062,666.0,0.658842685142857,0,0,0,0,0
2016-03-20,174787.45,23148.4,326868.18,48185.41,256106.6,145505.25999999998,1166772.11,143654952.89,91.0,2.109,666.0,0.6855209085714287,0,0,0,0,0
2016-03-27,203735.64,27773.64,639233.61,84822.31,188684.46,88968.51000000001,923371.52,67122312.16,91.0,2.169,666.0,0.7976509102857143,0,0,0,0,0
2016-04-03,154940.51,22836.32,350410.01,62899.01,178406.61,103742.45999999999,167079.38,110779367.43,89.0,2.185,666.0,0.7054671485714286,0,0,0,0,0
2016-04-10,186989.53,22751.65,352443.72,33626.64,191432.67,182711.68,970123.3500000001,68204099.72,89.0,2.173,666.0,0.722031825,0,0,0,0,0
2016-04-17,21026.8,5066.21,333097.79,39486.13,83276.05,69554.88,1493690.23,99556654.51,89.0,2.24,666.0,0.6743404367142857,0,0,0,0,0
2016-04-24,189185.21,42619.55,1029188.95,70134.16,281805.76,186917.12000000002,1107233.27,165602892.66,89.0,2.265,666.0,0.7326894618571428,0,0,0,0,0
2016-05-01,285824.04,12043.9,936173.91,157479.95,218474.52,152779.92,1087400.03,174368273.52,94.70000000000002,2.342,666.0,0.735233916142857,0,0,0,0,0
2016-05-08,37358.91,11316.3,529071.88,68736.91,90809.23,14901.65,902692.5700000001,66646331.64,94.70000000000002,2.325,666.0,0.6373420029999999,0,0,0,0,0
2016-05-15,87611.37,12133.34,570225.96,71041.2,96751.37,94293.29000000001,983681.3300000001,67617395.77,94.70000000000002,2.345,666.0,0.6750334788571429,0,0,0,0,0
2016-05-22,231118.11,19085.78,390653.44,154024.32,128465.64,120229.36,996617.29,126107351.85,94.70000000000002,2.403,666.0,0.7068081818571429,0,0,0,0,0
2016-05-29,149066.02,15418.54,700650.64,181307.48,228372.45,155191.13,543185.01,143648301.55,93.5,2.44,666.0,0.70437416,0,0,0,0,0
2016-06-05,64743.12,4777.13,450757.16,101870.24,230154.82,96353.34,1320601.55,68397609.52,93.5,2.482,666.0,0.6822653275714285,0,0,0,0,0
2016-06-12,289070.67,8657.06,302832.01,151361.53,271001.15,95273.65000000001,936786.0399999999,97823796.06,93.5,2.499,666.0,0.7304746515714287,0,0,0,0,0
2016-06-19,103734.98,9514.33,309246.43,56615.66,181033.27,45914.79,1084161.27,105193697.87,93.5,2.4550000000000005,666.0,0.6895143237142857,0,0,0,0,0
2016-06-26,220477.36,24161.78,344055.36,55889.29,183526.61,127780.05,453173.03,113971716.44,93.5,2.432,666.0,0.6843151124285713,0,0,0,0,0
2016-07-03,204858.38,16767.59,528415.73,73716.15,129993.71,108134.25,662350.73,71210800.01,90.0,2.3960000000000004,666.0,0.6872129445714286,0,0,0,1,0
2016-07-10,80911.84,11027.88,305692.65,131574.69,104305.18,241.64000000000001,823599.46,66022045.4,90.0,2.3589999999999995,666.0,0.7426368207142857,0,0,0,0,1
2016-07-17,50928.56,5596.5,266723.19,82994.03,99005.46,241.64000000000001,842499.5700000001,104938423.34,90.0,2.336,666.0,0.6944344895714285,0,0,0,0,0
2016-07-24,31712.56,1998.86,278239.6,141695.22,105276.17,29692.219999999998,1052818.6400000001,57017204.54,90.0,2.289,665.7142857142858,0.6883755170000001,0,0,0,0,0
2016-07-31,225332.22,24169.71,293616.01,36145.37,209646.52,121888.63,1028334.0999999999,77125173.33,89.79999999999998,2.267,665.8571428571429,0.6745272271428571,0,0,0,0,0
2016-08-07,105608.64,13561.62,593073.38,74160.46,219626.23,75866.17,421228.13,64000886.49,89.79999999999998,2.256,666.0,0.670114229,0,0,0,0,0
2016-08-14,71656.65,7910.94,485503.95,35890.76,114844.22,156075.36000000002,590247.61,102923206.78,89.79999999999998,2.256,666.0,0.6374689844285714,0,0,0,0,0
2016-08-21,133754.87,28188.01,602316.44,38741.95,237628.07,66692.82,1095054.04,108513225.54,89.79999999999998,2.299,666.0,0.6612078071428571,0,0,0,0,0
2016-08-28,283034.42,25219.45,384969.2,18034.83,282179.52,89183.15999999999,983302.0,115056568.23,91.20000000000002,2.341,666.0,0.6617211564285714,0,0,0,0,0
